ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0015804	neutral amino acid transport	22/4549	58/18860	0.379310344827586	1.57260784863668	2.46236016629897	0.0131641292524171	0.0566649405626862	0.0391922161594978	LEP/RGS2/SFXN1/SFXN3/SLC1A1/SLC1A4/SLC1A5/SLC1A6/SLC1A7/SLC25A13/SLC38A1/SLC38A4/SLC38A7/SLC3A2/SLC43A2/SLC6A14/SLC6A15/SLC6A20/SLC7A11/SLC7A5/SLC7A7/SLC7A8	22
BP	GO:0071320	cellular response to cAMP	22/4549	58/18860	0.379310344827586	1.57260784863668	2.46236016629897	0.0131641292524171	0.0566649405626862	0.0391922161594978	AKAP6/AQP1/AQP9/CFTR/FBP1/GPD1/HCN2/HCN3/IGFBP5/INPP5K/KCNQ1/KDM1A/PDE2A/PDE4D/PIK3CG/RAP1A/RAPGEF2/RAPGEF3/SCX/SLC26A6/SRD5A1/WNT10B	22
BP	GO:0030888	regulation of B cell proliferation	25/4549	68/18860	0.367647058823529	1.52425225970802	2.44169027458046	0.0132662048527275	0.0570266316084252	0.0394423791969385	ADA/ATAD5/BST1/BTK/CARD11/CD22/CD74/CD81/CDKN2A/EPHB2/INPP5D/MEF2C/MNDA/MZB1/NCKAP1L/NFATC2/PTPRC/SASH3/TCF3/TFRC/TLR4/TNFRSF21/TNFSF13/TYROBP/WNT3A	25
BP	GO:0055021	regulation of cardiac muscle tissue growth	25/4549	68/18860	0.367647058823529	1.52425225970802	2.44169027458046	0.0132662048527275	0.0570266316084252	0.0394423791969385	AKAP6/CCNB1/CDK1/COL14A1/EDN1/FGF2/FOXP1/G6PD/GATA6/JARID2/KCNK2/MEF2C/NKX2-5/PAK1/PARP2/PI16/RBP4/RGS2/TBX2/TBX5/TGFBR3/TOMM70/TP73/WNT2/ZFPM2	25
BP	GO:0032370	positive regulation of lipid transport	30/4549	85/18860	0.352941176470588	1.4632821693197	2.41350044564005	0.0134495292503778	0.0577361245469682	0.0399330988612475	ABCA12/ABCA13/ABCA3/ABCA8/ACSL1/ACSL5/ATP8A1/BMP6/CAV1/CETP/DAB2/ECRG4/EDN1/ERFE/FABP3/GAL/IL1B/LRAT/LRP1/NMB/P2RX7/PLA2G10/PLA2R1/PLTP/PPARG/PTGES/RETN/SPP1/TNFSF11/TREM2	30
BP	GO:0051279	regulation of release of sequestered calcium ion into cytosol	30/4549	85/18860	0.352941176470588	1.4632821693197	2.41350044564005	0.0134495292503778	0.0577361245469682	0.0399330988612475	AKAP6/ANK2/APLNR/ATP1A2/CACNA1C/CALML3/CASQ2/CEMIP/CLIC2/CX3CL1/CXCL10/F2RL3/GPER1/GSTM2/HAP1/JPH2/JPH3/JPH4/LIME1/NPSR1/P2RY6/PDE4D/PLN/PRKCE/PRKD1/RYR2/SLC8A1/TMEM38B/UBASH3B/XCL1	30
BP	GO:1905475	regulation of protein localization to membrane	56/4549	177/18860	0.31638418079096	1.31171810281766	2.34913328502194	0.0136083245982585	0.0583781419799021	0.0403771491992493	ABI3/AKAP5/AP2M1/AR/ARHGAP44/ARHGEF16/CACNA2D2/CAMK2B/CD36/CD81/CDH2/CRKL/DAB2/DLG1/DOK7/DSG3/EGFR/EPB41L3/EPHB2/FYN/FZD9/GPC1/GPC2/GPC5/GPER1/HRAS/KIF2C/LGALS3/LRP1/LRP4/LRRC15/LYPD1/LYPLA1/MMP14/MRAP2/NECAB2/NETO2/NHLRC1/NLGN2/PID1/PKDCC/PKP1/PRKCE/RAB11FIP2/RAMP3/RAP1A/SFN/SLC7A11/SORBS1/SPTBN1/STAC/STAC3/TMEM108/TREM2/VIL1/WNT3A	56
BP	GO:0006887	exocytosis	108/4549	370/18860	0.291891891891892	1.21017390219413	2.30193736215671	0.0137633108043602	0.0586904004928747	0.0405931223038981	ABCA12/ADORA2B/ANXA3/APOLD1/ARHGAP44/ATP2A2/BAIAP3/BRSK1/BTK/CACNA1B/CADPS2/CASK/CBARP/CCL3/CCR1/CCR2/CD177/CDK16/CDK5R2/CFTR/CHGA/ERC2/EXOC3L1/F2RL1/FBXO45/FCER1A/FCER1G/FCGR3A/FES/FGG/FGR/FOXF1/GAB2/GATA2/GNAI2/HAP1/HCK/ITGAM/ITGB2/LAT2/LGI3/LIN7A/LRRK2/MICAL3/MYH10/MYO1G/NCKAP1L/NKG7/NR4A3/P2RX1/P2RX7/P2RY1/PAK1/PCLO/PFN2/PIK3CG/PLEK/PPFIA3/PRAM1/PRKCB/PTGDS/RAB11FIP1/RAB11FIP2/RAB26/RAB27A/RAB37/RAB3B/RAB40B/RAB8B/RAP1A/RAPGEF4/RIMS2/RPH3AL/RUFY4/SCAMP5/SCRIB/SDC1/SDC4/SDCBP/SEPTIN4/SMPD3/SPI1/STX11/STX1A/STX2/STXBP1/STXBP5L/STXBP6/SV2A/SYNGR1/SYNGR3/SYT1/SYT12/SYT13/SYT2/SYT5/SYT7/SYTL1/SYTL3/TMEM79/UNC13B/UNC13D/VAMP2/VSNL1/WIPF3/WNT7A/YKT6/ZP3	108
BP	GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	17/4549	42/18860	0.404761904761905	1.67812915449759	2.48046233677351	0.0138248527559143	0.0586904004928747	0.0405931223038981	BRCA1/CREBRF/CRY2/DAB2/FOXP1/HDAC1/HEYL/HMGA2/ISL1/KANK2/LBH/NR0B1/PER1/PHB2/TCF21/TP63/ZNF366	17
BP	GO:0060391	positive regulation of SMAD protein signal transduction	17/4549	42/18860	0.404761904761905	1.67812915449759	2.48046233677351	0.0138248527559143	0.0586904004928747	0.0405931223038981	ACVRL1/AMH/ATOH8/BMP2/BMP5/BMP6/BMP7/BMPER/BMPR2/DAB2/ENG/NUP93/PARP1/TGFB2/TGFBR2/TGFBR3/TTK	17
