category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	75/2425	201/9370	0.373134328358209	1.44176027081089	3.74102029098635	0.000203784955578733	0.00340611997181596	0.00274777709527213	BAIAP3/BAK1/BCL11B/BCL2A1/BIRC3/CCNA1/CCNA2/CD86/CSF1R/CSF2/DDIT3/DUSP6/ERG/ETV1/ETV4/FCGR1A/FLI1/FLT1/GADD45B/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/HDAC1/HDAC2/HMGA2/HOXA10/HOXA11/HOXA9/HPGD/ID2/IGF1R/IGFBP3/IL1R2/IL6/ITGAM/JUP/LMO2/LYL1/MEF2C/MITF/MMP3/MMP9/MYCN/NFKBIZ/NGFR/NR4A3/NSD2/NUPR1/PAX7/PLAT/PLAU/PPARG/PTCRA/RARA/RUNX1T1/RUNX2/RXRG/SIX1/SIX4/SPI1/TCF3/TGFBR3/TLX2/TM4SF18/TMPRSS4/WNT2/ZBTB4/ZEB2	75
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	60/2425	155/9370	0.387096774193548	1.49571000997672	3.67715751728326	0.000278919612135806	0.0044500356299849	0.0035899222805996	ATP6V0D2/ATP6V1C2/ATP6V1E2/C3/CD36/COLEC11/COLEC12/CTSS/CYBB/DYNC1I1/FCGR1A/FCGR2A/FCGR3A/FCGR3B/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/ITGA2/ITGAM/ITGAV/ITGB2/MARCO/MRC1/MSR1/NCF1/NCF2/NCF4/OLR1/PLA2R1/RILP/SEC61A2/SEC61G/SFTPA1/SFTPA2/SFTPD/STX12/TG/THBS2/THEMIS2/TLR3/TLR7/TUBA1C/TUBA3E/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB4A/TUBG1	60
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	43/2425	103/9370	0.41747572815534	1.61309178260434	3.69692714432391	0.000305080653346652	0.00465579605759457	0.00375591284898167	ARG2/C8B/C8G/CD1C/CD1E/COL1A1/COL1A2/COL3A1/COL4A3/COL4A4/COL4A5/COL4A6/CSF2/CTSG/CXCL2/CXCL3/GNA14/GNAQ/HSPB1/IL1B/IL1R1/IL1R2/IL6/ITGAM/ITGB2/LAMA1/LAMA2/LAMA4/LAMB2/LAMB3/LAMC2/LAMC3/MUC2/PLCB2/PRDX1/PRKCB/SERPINB13/SERPINB3/SERPINB4/SERPINB6/TGFBR2/TLR3/TLR7	43
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	17/2425	30/9370	0.566666666666667	2.18955326460481	3.85600375683953	0.000330280319971123	0.0047496926385595	0.00383166087801021	ABCC1/ABCC2/ABCC5/ABCG2/ATIC/DHFR/FOLR1/FOLR2/FOLR3/GART/GGH/IL1B/IL6/MTHFR/SHMT2/SLC19A1/TYROBP	17
Human Diseases	Substance dependence	hsa05034	Alcoholism	71/2425	191/9370	0.371727748691099	1.43632536298375	3.5999446484769	0.000338297196478597	0.0047496926385595	0.00383166087801021	ADORA2B/BDNF/CALML3/CALML5/CREB3L1/DRD2/FOSB/GNAI2/GNB3/GNG11/GNG2/GNG4/GNG7/GNGT1/GNGT2/GRIN2D/H2AC11/H2AC12/H2AC13/H2AC14/H2AC16/H2AC20/H2AC21/H2AC4/H2AC8/H2AX/H2AZ1/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/H4C1/H4C11/H4C12/H4C2/H4C3/H4C4/H4C5/H4C8/H4C9/HDAC1/HDAC2/HRAS/MACROH2A2/MAOA/MAOB/NTRK2/PPP1R1B/SHC3	71
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	60/2425	157/9370	0.382165605095541	1.47665637927638	3.55894327743726	0.000414644384813642	0.00559769919498417	0.00451576273339553	AMH/AREG/AXIN2/BIRC3/BIRC5/BMP2/BMP5/BMP6/BMP7/BMP8A/BMP8B/BMPR2/CCN2/CCND3/CDH1/DLG1/DLG5/DVL3/FRMD6/FZD10/FZD4/FZD5/FZD6/FZD7/FZD9/GLI2/ID2/ITGB2/LATS2/LEF1/LIMD1/NKD1/PARD3/PARD6B/PARD6G/PPP2R2C/PRKCZ/RASSF6/SCRIB/SMAD7/SNAI2/SOX2/TGFBR2/TGFBR3/TPBG/WNT10B/WNT16/WNT2/WNT3/WNT3A/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WSCD1/WWC1/WWC2/YWHAZ/ZBED2	60
Genetic Information Processing	Replication and repair	hsa03410	Base excision repair	22/2425	44/9370	0.5	1.9319587628866	3.66135377988436	0.000503719017755932	0.00639063640427349	0.00515543917453761	FEN1/LIG1/LIG3/NEIL3/PARP1/PARP2/PCNA/POLB/POLD1/POLD2/POLE/POLE2/POLE3/POLG2/RFC2/RFC3/RFC4/RFC5/SMUG1/TDG/TDP1/UPF3B	22
Environmental Information Processing	Signaling molecules and interaction	hsa04519	Cadherin signaling	134/2425	404/9370	0.331683168316832	1.28159640706339	3.41888734322601	0.000509794357036062	0.00639063640427349	0.00515543917453761	ACTR3B/AMOTL2/APH1B/ARPC1A/AXIN2/CDH1/CDH12/CDH2/CDH24/CDH3/CDH5/CELSR2/CELSR3/CIB2/CYFIP2/DAAM2/DCHS1/DES/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/DSP/DVL3/EGFR/FAT1/FAT2/FAT4/FLT4/FMN1/FZD10/FZD4/FZD5/FZD6/FZD7/FZD9/GABRA3/GABRA5/GABRE/GABRP/GABRQ/GABRR1/HRAS/IGF1R/JUP/KDR/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT3/KRT31/KRT32/KRT33A/KRT34/KRT36/KRT5/KRT6A/KRT6B/KRT6C/KRT7/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/KRT9/LATS2/LEF1/LHFPL1/LHFPL3/LHFPL6/LIMD1/MAPK12/MPDZ/MRAS/MYO1C/MYO1F/MYO1G/MYO7A/NCKAP1L/NFKBIA/PCDH1/PCDH12/PCDH17/PCDH19/PCDH7/PCDHB11/PCDHB14/PCDHGA12/PCDHGB7/PCDHGC3/PKP1/PKP2/PKP3/PPP1R1B/PRICKLE1/PRICKLE2/PRICKLE3/RAC3/RRAS/SCN4B/TJP3/TMCC2/TMOD1/USH1G/USHBP1/VANGL2/VASH1/VIPR1/WASF3/WNT10B/WNT16/WNT2/WNT3/WNT3A/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WSCD1/WWC1/WWC2/YWHAZ/ZBED2	134
Metabolism	Metabolism of other amino acids	hsa00480	Glutathione metabolism	27/2425	59/9370	0.457627118644068	1.7682334439979	3.49773914986137	0.000736420993240239	0.0089132334009422	0.00719046269261794	ANPEP/CHAC1/CHAC2/G6PD/GCLC/GCLM/GGCT/GPX2/GPX3/GPX7/GSR/GSS/GSTA2/GSTA3/GSTM2/GSTM4/GSTM5/GSTP1/HPGDS/IDH2/ODC1/OPLAH/PGD/RRM1/RRM2/SMS/SRM	27
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	36/2425	86/9370	0.418604651162791	1.61745384799808	3.39901066412605	0.000861349497230528	0.0100777891175972	0.00812993034228113	ATP2A1/ATP2A2/CACNA1C/CACNA2D1/CACNA2D2/CACNA2D3/CACNG4/CACNG6/CDH2/DES/DSC2/DSG2/DSP/ITGA1/ITGA10/ITGA11/ITGA2/ITGA6/ITGA7/ITGA8/ITGA9/ITGAV/ITGB4/ITGB8/JUP/LAMA1/LAMA2/LEF1/PKP2/RYR2/SGCA/SGCD/SGCE/SGCG/SLC8A1/SNTB1	36
